act	let	0.75
relation	relations	0.8
disposal	elimination	0.8
overachievement	underachievement	0.8571428571428571
deviationism	deviationist	0.8571428571428571
emigration	immigration	0.9333333333333333
debarkation	boarding	0.9230769230769231
loss	liberation	0.75
loss	election	0.75
loss	ejection	0.75
loss	disturbance	0.75
loss	damage	0.75
loss	hire	0.75
confusion	confuse	0.8
call_option	put_option	0.8888888888888888
call_option	straddle	0.9473684210526315
put_option	straddle	0.9473684210526315
viatication	viatical	0.75
acceptance	recapture	0.75
liberation	election	0.75
liberation	ejection	0.75
liberation	disturbance	0.75
liberation	damage	0.75
liberation	hire	0.75
liberation	amnesty	0.75
playing	percussion	0.75
leaner	ringer	0.7142857142857143
impression	hit	0.7272727272727273
impression	insertion	0.7272727272727273
impression	addition	0.7272727272727273
impression	exchange	0.7272727272727273
babinski	plantar_reflex	0.72
hit	switch	0.7272727272727273
hit	insertion	0.8
hit	addition	0.8
hit	exchange	0.8
catching	pitching	0.8
fair_ball	foul_ball	0.9090909090909091
whiff	whiffer	0.7142857142857143
line-drive_single	line-drive_double	0.75
line-drive_single	line-drive_triple	0.75
line-drive_double	line-drive_triple	0.75
single	double	0.8333333333333334
single	triple	0.8333333333333334
double	triple	0.8333333333333334
fastening	linkage	0.75
tightening	decision	0.75
tightening	cleaning	0.75
tightening	perfection	0.75
tightening	beautification	0.75
tightening	wetting	0.75
tightening	hardening	0.7272727272727273
tightening	widening	0.75
tightening	narrowing	0.75
tightening	spiritualization	0.75
tightening	priming	0.75
tightening	reciprocation	0.75
monetization	demonetization	0.8235294117647058
exposure	overexposure	0.7272727272727273
casting	cast	0.7272727272727273
stratified_sampling	stratified_sample	0.8
decision	cleaning	0.75
decision	perfection	0.75
decision	beautification	0.75
decision	wetting	0.75
decision	widening	0.75
decision	narrowing	0.75
decision	spiritualization	0.75
decision	priming	0.75
decision	reciprocation	0.75
inside_loop	outside_loop	1.0
road	royal_road	0.8888888888888888
election	ejection	0.75
election	disturbance	0.75
election	damage	0.75
election	hire	0.75
split_ticket	straight_ticket	1.0
earned_run	unearned_run	1.0
dark_adaptation	light_adaptation	0.7692307692307693
switch	insertion	0.7272727272727273
switch	addition	0.7272727272727273
switch	exchange	0.9090909090909091
promotion	demotion	0.75
ejection	ouster	0.75
ejection	disturbance	0.75
ejection	damage	0.75
ejection	hire	0.75
viatical_settlement	viatical_settlement	0.8571428571428571
reversal	run	0.75
baking	bake	0.75
seasoning	salting	0.75
seasoning	sweetening	0.75
salting	sweetening	0.75
cleaning	perfection	0.75
cleaning	beautification	0.75
cleaning	wetting	0.75
cleaning	widening	0.75
cleaning	narrowing	0.75
cleaning	spiritualization	0.75
cleaning	priming	0.75
cleaning	reciprocation	0.75
washup	proxy	0.75
perfection	beautification	0.75
perfection	wetting	0.75
perfection	widening	0.75
perfection	narrowing	0.75
perfection	spiritualization	0.75
perfection	priming	0.75
perfection	reciprocation	0.75
beautification	wetting	0.75
beautification	widening	0.75
beautification	narrowing	0.75
beautification	spiritualization	0.75
beautification	priming	0.75
beautification	reciprocation	0.75
camera_care	car_care	0.8
restoration	restitution	0.7272727272727273
wetting	drenching	0.8888888888888888
wetting	moistening	0.8888888888888888
wetting	widening	0.75
wetting	narrowing	0.75
wetting	spiritualization	0.75
wetting	priming	0.75
wetting	reciprocation	0.75
drenching	moistening	0.8
motion	travel	0.7272727272727273
